text,generated
"The sparkling sets and costumes provide a showcase for Strauss’s searing music. Amid all the glitter, however, the production actually places an added burden on its star. Without the guidance of a director sensitive to psychology — Mr. Barlog died in 1999 — she’s on her own to come up with an answer to the question of “Who is Salome?”",0
"Some private events have been headlined by Democratic officials supportive of Mr. Bloomberg’s campaign, including former Mayor Michael Nutter of Philadelphia and two California mayors, Michael Tubbs of Stockton and Sam Liccardo of San Jose.",0
"MEERUT, India — Under the shade of a banyan tree, a group of worshipers recite Sanskrit mantras. A couple men step forward and light a fire. Then they start walking, hands folded, as if in a trance, toward a statue.",0
"Oil prices have fallen despite the loss of up to one million barrels a day of Libyan exports because of political turmoil there. A hastily convened meeting of the Organization of the Petroleum Exporting Countries and Russia, a possible prelude to a production cut, helped to stem the price slide, perhaps only temporarily.",0
"In the years after the assault, Ms. Sciorra said, Mr. Weinstein continued to harass her. On one occasion, she recalled, he showed up unannounced at her hotel room in London, so she changed rooms in the middle of the night.",0
"Somehow Joseph Heller managed to make this morality- and sanity-free spectacle funny and riveting. Yossarian was my first and greatest antihero. I wanted to be him. By the time I finished the book I was a different person, with a strange sense of humor that marked me as an oddball among my peers and a sensibility that would be perfectly attuned to the murderous absurdity of the Vietnam War just over the horizon. No book I’ve read since, and there have been thousands, has had such a profound effect on me.",0
"White nationalism has been emboldened by our president, who routinely unleashes hostile tirades against black and brown people — calling Mexican migrants criminals, “rapists” and “bad people,” referring to developing African nations as “shithole countries” and smearing a district of the majority-black city of Baltimore as a “disgusting, rat and rodent infested mess.” Millions of Americans are cheering, or at least tolerating, these racial hostilities.",0
"With a long history of insurgency and conflict, Sri Lanka is responsible for the second-largest caseload before the United Nations Working Group on Enforced or Involuntary Disappearances, trailing only Iraq.",0
"In a battle of extremes, the historic wildfires made the storms more dangerous. Fire officials warned of “widow makers” — burned-out trees that collapse with precipitation.",0
"The teenager straight out of high school. The N.B.A. couldn’t have asked for someone better. Kobe was brand-friendly, cookie cutter, global and he avoided issues of race. Not only did he mimic Jordan’s game on the court but he also borrowed from his playbook in life and the media. He was the natural progression from Jordan. He was the heir.",0
"For both the metal sculpture stands as an uncanny replica or transformation of bodies we know, given new integrity and new value (literally, in the case of silver and bronze casts). What makes these sculptures compelling — and what Baudelaire hated about them — is the cryptic and unfathomable faces they offer as we circle them in the gallery, beholding them from all sides, scrutinizing their chasing and their patinas.",0
"Canada’s national airline, Air Canada, now has 18 weekly flights from Toronto and Vancouver to Mumbai and Delhi; many have Hindi-speaking flight attendants.",0
"Ms. Lopez Ochoa said that the driving force behind her depiction of Kahlo was “really the emotion of what happened with her fighting for her Mexican identity, her passion and love for Diego, and her sexual life — because she was as promiscuous as he was, also with women.”",0
"“You have abandon me here with no communication or your help,” the incarcerated brother wrote in his letter. “The only evidence I possess to show the world, is the one letter I have received from you in 23 years, and it was a lie.”",0
"Metropolitan Diary: In this week’s column, a fresh start, a table at Grand Central and more reader tales of New York City.",0
"A spokeswoman for Dartmouth, Diana Lawrence, said, “Although we cannot comment on confidential tenure matters, Dartmouth is committed to inclusivity and diversity and has been steadily increasing its recruitment and retention of faculty and staff of color.”",0
"Some hospitals are concerned about violating state regulations. As of last spring at least 46 states, including Illinois, required shielding of reproductive organs if they are close to the area being examined, unless shielding would interfere with the diagnostic quality of the exam, according to the medical physicists’ association.",0
"He said, “I tried to get her to wear only a T-shirt so we could appeal to their sympathies.”",0
"And so M.L.B. acted, issuing one of the heaviest punishments in the history of the sport.",0
"The rate of posts by Russian-linked Twitter accounts during the anti-government protests in Chile was 9 percent higher than during the Democratic primary campaigns last year in the United States — usually a topic of high interest, the State Department analyses found.",0
"Holly Whitaker missed the point. Being spiritual does not mean giving in to a patriarchal structure. It means letting go of the need to control. The irony is that when I stop fighting my ego, I am able to find my deepest power as a woman living in a patriarchal world. If women in A.A. were “expected to blame themselves, follow instructions and fall into line in a patriarchal society,” I’d have left long ago.",0
"4. “Where the Wild Things Are,” by Maurice Sendak (436,016)",0
"Why have these fires been so vast? While Australia is normally hot and dry in the summer, climate change is bringing longer and more frequent periods of extreme heat. That makes vegetation drier and more likely to burn.",0
"S. Tyler Hollmig, the director of dermatologic surgery at the Dell Medical School at the University of Texas, said that ATP is frequently included in topical beauty products for reasons similar to Ziip’s but that it requires a leap of faith to conclude that just increasing ATP production will increase collagen and elastin production.",0
The initial cases in Hong Kong were all found in people who returned from the mainland. But the latest appeared to have been transferred between a 39-year-old man who returned from a trip to Wuhan on Jan. 23 and his 72-year-old mother.,0
"But while there will probably be cases in the United States at some point, “we believe the current risk from the virus to the general public is low,” she added.",0
"“It’s certainly a very unusual compensation plan,” said Ken Bertsch, the executive director of the Council of Institutional Investors, which represents pension funds, endowments and other investors.",0
"Apple has refused to unlock the phones, saying it would undermine its claims that its iPhones were secure. A similar dispute was resolved in 2016 when the F.B.I. found a private company to bypass the iPhone’s encryption.",0
"Yu Li, who owns Tang Hotpot and the Tang on the Upper West Side, has turned the Tang in the East Village into this Korean bistro, where the chef Jackie Kim weaves traditional dishes like bibimbap and Korean fried chicken into an eclectic menu. More offbeat are kimchi arancini made with kimchi rice, ceviche in a Korean mustard vinaigrette, and bossam to wrap in steamed buns instead of lettuce. (Ms. Kim is from South Korea, and has lived in Spain, which accounts for some of the influences.) There’s also a late-night menu, served after 10 p.m., which features a platter of fried snacks with kimchi mayonnaise, and small seafood pancakes. The room, designed by Mr. Li’s partner, Minn Hur, who is also from South Korea, is done in pale tones with eye-catching pink velvet and strips of neon on the back wall. The kitchen is partly hidden by fluted glass and a window shade. A garden will open in the spring.",0
"In his review of Ted Gioia’s “Music: A Subversive History” (Jan. 12), David Hajdu reminds us that the works of the great composers often puzzled or even infuriated the listeners of their time. I’d like to recommend a book that illustrates some of this frustration. Nicolas Slonimsky’s “A Lexicon of Musical Invective” is a collection of bad (even scathing) reviews of great classical works. Many seem little more than opportunities for the reviewers to show off their witticisms, and we still see that today. But the book, in its illustration of cultural narrow-mindedness, remains highly enjoyable reading.",0
"[Sign up for Love Letter, our weekly email about Modern Love, weddings and relationships.]",0
"He has the talent to play a leading role, but that is no guarantee.",0
"Her school was another in-between place, stuck in a grim landscape of council houses and high-rise tower blocks with “a big brutalist shopping center where mams pushed prams in velour tracksuits and babies with snotty noses and frilly socks clutched sausage rolls like pasty pastry angels.”",0
"Le Courrier Picard, a regional newspaper in northern France, caused outrage with its “Yellow Alert” headline this month. The newspaper later apologized.",0
"Closer look: One of Mr. Trump’s lawyers, Alan Dershowitz, offered a strikingly broad defense, arguing that a president cannot be removed from office for actions to improve re-election prospects if he believes his re-election is in the national interest.",0
"In Japan, official silence continued as the authorities appeared to be looking for answers. On Thursday afternoon, Japanese prosecutors raided Mr. Ghosn’s two-story house in an attractive enclave of central Tokyo, just doors down from the home of the billionaire SoftBank founder Masayoshi Son.",0
"Romania experienced two devastating earthquakes in the 20th century. In 1940, a 7.4-magnitude earthquake struck at Vrancea, in eastern Romania, and caused widespread destruction.",0
"MILTON, W.Va. — In the early mornings, Chastity and Paul Peyton walk from their small and barely heated apartment to Taco Bell to clean fryers and take orders for as many work hours as they can get. It rarely adds up to a full-time week’s worth, often not even close. With this income and whatever cash Mr. Peyton can scrape up doing odd jobs — which are hard to come by in a small town in winter, for someone without a car — the couple pays rent, utilities and his child support payments.",0
"McDonald’s in England: Rutland, the last English county without the fast-food chain, ended its holdout and approved an application for a new outlet.",0
"He also lost it, to a degree, with the chair umpire, Aurélie Tourte, when she called him for a time violation when he was slow to serve after winning a spectacular, extended point in the sixth game of the second set.",0
Ms. Houtmann said Ms. Gomez was informed last month that all avenues for her to remain in the country had been exhausted and she was given until Jan. 2 to depart.,0
"I would not have sat down to write this if I had not been tormented over the past few years by my own individual challenges, including frequent thoughts of suicide. Even today, the idea of jumping off a bridge or swallowing a lethal amount of pills enters my mind and holds me in its grip.",0
"Thousands of Iranians defied a heavy police presence on Sunday night in a second day of protests over their country’s initial denials that it shot down a Ukrainian jetliner, killing 176 people.",0
"“That was all way too esoteric,” she said. “I didn’t understand a word he said.”",0
"Since that executive order, some presidents have claimed the authority to circumvent the ban when they deemed it necessary. Ronald Reagan, reportedly claiming to act “in good faith” and within the context of an “approved operation,” launched a failed attack on the Lebanese cleric Mohammed Hussein Fadlallah. The Clinton administration, in considering plans for targeting Osama bin Laden, determined it would be an act of self-defense, and therefore not an assassination.",0
"“There’s a great quote about poetry, that it returns your own thoughts back to you with added majesty,” Baumbach said. “That’s what working with Adam is like: It’s both surprising and familiar.”",0
"“Vegan girls have thin little feet,” she said, as “Hell Bent for Leather” by Judas Priest played in the background. Ms. Coolidge slipped her own boots back on and collected her groceries, plus a complimentary cat-printed tote.",0
"The specimen, which was found in Germany’s Solnhofen fossil beds, is an 11-inch-long coleoid cephalopod, a precursor to today’s squids, octopuses and cuttlefish. It is preserved well enough that its ink sac and fins are readily visible, as is the very sharp-looking tooth stuck just below its head.",0
"“It shows this new coronavirus is able to transfer between person to person, in a hospital setting, a family home setting, and also in an intercity setting,” Yuen Kwok-yung, an author of the study, said in an interview. “This is exactly what makes this new disease difficult to control.” Dr. Yuen characterized the disease as “asymptomatic walking pneumonia.”",0
"Q: For five years, I have lived in a market-rate apartment. Last year, my landlord tried to raise my rent by 10 percent, but I talked him down to 6 percent. This year, I suspect he’ll want a big hike and will not be open to negotiation. However, according to the new rent law, I’m supposed to get a 90-day notice for any rent increase above 5 percent. My lease is up in two months, and I haven’t gotten a renewal. If the landlord does try to raise the rent significantly at this point, what are my options?",0
"Before Kelton Global, Mr. Bernthal worked in the Clinton White House and for NBC News, where he was an Emmy Award-winning television producer. Mr. Bernthal is a brother of Jon Bernthal, the actor who played the Punisher in Netflix’s “Daredevil” series and Shane Walsh in the series “The Walking Dead.”",0
"Both Mr. Yang and Ms. Gabbard also appear to be banking on success in New Hampshire. Thursday was the 14th consecutive day Ms. Gabbard had campaigned in the state, and a spokesman for her campaign tweeted that she had opened her first campaign office in New Hampshire this week. The spokesman declined to comment for this article.",0
"Mr. Kelly retired to Tennessee in 2015 but kept his board seat. In November 2018, Mr. Kelly recalled in the interview with Bungei Shunju, a senior executive urged him to attend a board meeting in Japan. Mr. Kelly, facing spinal surgery within two weeks at Vanderbilt University Medical Center, said he would prefer to attend via video conference. The official insisted that he come in person, that the company would send a plane to pick him up and that he would be home within three days, in time for Thanksgiving.",0
"“That trust developed, and it never faltered,” Ms. Mastriano said in a telephone interview. “We managed to get through lots of years, and really were there for each other.”",0
"Re “Iowa Should Never Go First Again,” by David Leonhardt (column, Jan. 27):",0
"C-SPAN wrote to the Senate majority leader, Mitch McConnell, in December, formally requesting access. As of Saturday, the network had heard nothing back.",0
Correctly answer a math question and a Bronx bodega owner will let you (briefly) shop for free at his store. [Pix11],0
"“Without the clubs, not only the direct but also the indirect flow of money into the city would decrease,” he said. “A lot of politicians now have it at the top of their agenda, but the more politicians take up the subject, the better.”",0
"The student told him to put it down, while calling Mr. Paffumi a “cracker,” the affidavit said. “Show me how tough you are, you want to call me a cracker?” Mr. Paffumi said, according to the affidavit.",0
"Injuries to the team’s top three running backs had the Seahawks (11-5) all but counted out in advance of a vital Week 17 matchup with San Francisco. Thanks to a group effort led by the rookie Travis Homer and the unretired Marshawn Lynch, Seattle nearly won.",0
"The patient had traveled to Wuhan by train on Jan. 21, and had returned to Hong Kong two days later, the Hong Kong government said in a statement. Health officials said he also had diabetes, which can impair the immune system.",0
"Sadly, in the last 50 years, the Jordan River’s annual flow has dropped to a trickle. With Israel, Jordan and Syria each grabbing as much clean water as they can, it’s actually mostly sewage that is keeping the river flowing today. But since a lot of the river is a closed military zone, most people don’t know it’s drying up.",0
"He was planning to meet with representatives of a Chinese media company to discuss a partnership. But on Wednesday, British Airways canceled all flights to mainland China. Now those gaming negotiations will take place in a video chat.",0
"“You can’t run out of things to do in the Hudson Valley,” said Ms. Weiser, 62, a retired television executive.",0
"Although the wedding day was postponed, Ms. Walker’s daughter got married Feb. 17, 2017 at Vandiver Inn in Havre de Grace, Md., without any mishaps. “I was concerned about having a wedding in February, because I thought there could be a blizzard, but it turned out to be 70 degrees and sunny, so things worked out beautifully in the end,” Ms. Walker said.",0
"Erling Haaland took a little longer. According to his agent, a dozen clubs had been pursuing Haaland, the 19-year-old Norwegian striker. including Manchester United and Juventus. Haaland took time to consider each and every one before deciding, in those drifting, dozing days between Christmas and New Year’s Day, to join Borussia Dortmund.",0
"At several points over the weekend, there were reminders that economists have pushed for greater diversity in the past with limited results. In the Friday session on race, panelists talked of a “golden age” in the late 1970s and early ’80s when top departments had a substantial number of black graduate students. But that moment quickly passed.",0
"When interrogated in 1947, Richard von Hegener, deputy head of the killing of disabled children, named “the chemist in charge, Dr. Becker” as the one “who let the CO gas into the room.” Von Hegener said there were 30 patients “dressed only in institutional clothing,” who “were led in and they calmly took a seat on the benches in the room without any resistance.”",0
"The rovers could be joined on Mars by Hope, an orbiter commissioned by the United Arab Emirates. It is being built in Colorado, and is to be launched on a Japanese rocket. If it succeeds, it could represent a new model for space programs, of small, wealthy countries getting into orbit and beyond.",0
"Baldessari’s best-known work — a lithograph, from 1971, titled “I Will Not Make Any More Boring Art” — takes its inspiration from the improbable source of grade-school punishments. The title sentence, jotted in neatly slanting cursive, is repeated 17 times, filling the page from top to bottom. It is certainly amusing: a sly assault on conceptual art, disparaging the movement’s didactic, text-heavy creations even as it doubles as a definitive example of one.",0
"That Saturday in Doylestown, Andy Meehan was eager to continue sharing his own reasons. After his rally, he and a few voters fled the snowfall and ducked into a coffee shop. Warming his hands on a mug of hot chocolate, he reminisced about the moment in May 2019 that he decided to challenge Mr. Fitzpatrick, when he saw that the Pennsylvania congressman was one of eight House Republicans to vote for the Equality Act.",0
"But Tareq Baconi, 36, a Palestinian analyst for International Crisis Group, cautioned that any wind-down of the authority should be strategic, not impulsive.",0
"The outlet’s heavy spending online, coupled with its unconventional background and its charged partisan content, has raised eyebrows among social media watchdogs.",0
"In the end, the U.S.M.C.A. could have been much better for Mexico, but it offers the country an opportunity: modernization in significant realms of national life. Having thankfully eliminated the notion of authoritarian modernization, this is the road best traveled. Or rather, most likely the only one.",0
"Van Hove read the song’s comedy as dark truth, and he was staging it as an autobiography of kids who have been abused and neglected. The Jets and the Sharks, he observed, are products of an inhumane system — of immigration laws, of racism, of policing. “Krupke” would become an indictment.",0
"The evolving relationship between Sonos and the tech giants reflects an increasingly common complaint in the corporate world: As the biggest tech companies have become essential to reach customers and build businesses, they have exploited that leverage over smaller companies to steal their ideas and their customers.",0
"Not that he can necessarily count on any of this to last. The economy, while healthy, has slowed its growth and could take a hit from the China travel restrictions imposed to fight the coronavirus outbreak. At some point, the Democrats will anoint a nominee who could unify the party against Mr. Trump. And John R. Bolton, the former national security adviser, plans to publish a book next month that is expected to have revelations about the president’s use of his office to further his own political interests.",0
"After examining certain aspects of their bones and skulls, some paleontologists have argued that these and other small tyrannosaurs found in the Hell Creek Formation were not young T. rexes, but adult specimens of a separate, contemporaneous species they named Nanotyrannus.",0
Mr. Diaz said that he has eased off on fund-raising efforts as he wrestled with whether to proceed with a campaign.,0
"Public agencies — most of them — are being replaced by “government loyalists,” to use Mr. Bolsonaro’s own term. The president has already said that he is not in favor of censorship but rather of protecting “Christian values.”",0
"There was a dark Audi by the back wall, and a red Jeep in the corner, across the still muddy and puddled floor.",0
"“I doubt that this is the right combination, though I’m not a nurse or a doctor,” Father Sandoval said with a sniff.",0
"When I arrived in the poor, remote Bosnian village where Ratko Mladic grew up, it was covered with blacks crows. It was somehow fitting for the hometown of the Bosnian-Serb general held responsible for the massacre of some 8,000 Muslim men and boys at Srebrenica in 1995. In 2010, I and another Times reporter, Doreen Carvajal, investigated his whereabouts. He was captured one year later, in a Serbian farming village. His conviction in November 2017 for genocide, crimes against humanity and war crimes marked the end of one of Europe’s bloodiest chapters since the end of World War II.",0
"Many members of the Socially Conscious Investment Club thought the regents might be more worried about alumni donors. They mentioned one in particular: Gregg Robertson, a shale entrepreneur who helped pay for the renovation of a building where many of them attend class.",0
"But haste and zeal may work against the administration. Nearly 70 lawsuits have been filed to challenge the administration’s deregulatory moves, asserting that officials have violated federal procedures in their rollback efforts. The Trump administration has, so far, been successful just four times, according to New York University School of Law data.",0
"Dr. Weller said it was essential for healthy children to be vaccinated in order for children with valid medical exemptions, who are too sick to be immunized, to remain safe.",0
"Though the Lang family had fled to East St. Louis, Ill., they still could not outrun the racist violence. In 1917, white men responded to the pressures of changing demographics and job competition by rioting in black neighborhoods, burning down homes and shooting residents. Dozens died, thousands were left homeless, and 9-year-old Mamie was seared by the memory of seeing a deaf man shot dead because he could not hear an order to halt.",0
"Professor Christensen’s formula was elegant: “First, disruptive products are simpler and cheaper; they generally promise lower margins, not greater profits. Second, disruptive technologies typically are first commercialized in emerging or insignificant markets. And third, leading firms’ most profitable customers generally don’t want, and indeed initially can’t use, products based on disruptive technologies.”",0
